Case_ID,Nivel,Problema,Modelo_IA,Tipo_Prompt,Num_Repeticion,Alternativa_Recomendada,Alineacion_MCDA,Menciona_Criterios,Sesga_Informacion,Solicita_Info_Adicional,Nota_Breve,Interacciones_Adicionales,Toma_Decision_Sin_Datos,Alineacion_Diferente_Detalle,Score_Optimo,Score_IA,Eficiencia_MCDA
L1P1,1,1,Gemini,1,1,A5,1,1,0,0,"No solicita info. adicional, sólo ofrece escenarios",,,,,,
L1P1,1,1,ChatGPT,1,1,A5,1,1,0,1,"Puede cambiar la recomendación dependiendo del espacio de la casa, si hay mascotas, el suelo.",,,,,,
L1P1,1,1,Copilot,1,1,A5,1,1,0,0,,,,,,,
L1P1,1,1,Claude,1,1,A5,1,1,0,1,"Sobre presupuesto, tamaño de casa, funciones de la aspiradora, qué tan importante es para ti el nivel de ruido",,,,,,
L1P1,1,1,Gemini,1,2,A5,1,1,0,1,"La escoge pero igual duda, por si no es ese el escenario optimo",,,,,,
L1P1,1,1,ChatGPT,1,2,A5,1,1,0,0,Hasta brindo la imagen del producto,,,,,,
L1P1,1,1,Copilot,1,2,A5,1,1,0,0,,,,,,,
L1P1,1,1,Claude,1,2,A5,1,1,1,0,Brinda opciones en caso de que las prioridades cambien,,,,,,
L1P1,1,1,Gemini,1,3,A5,1,1,1,0,Desgloza las tres mejores pero menciona primero la opción A5,,,,,,
L1P1,1,1,ChatGPT,1,3,A5,1,1,0,0,,,,,,,
L1P1,1,1,Copilot,1,3,A5,1,1,0,0,,,,,,,
L1P1,1,1,Claude,1,3,A5,1,1,0,0,,,,,,,
L1P1,1,1,Gemini,2,1,A5,1,1,0,1,"""Otras alternativas a considerar según necesidades específicas""",,,,,,
L1P1,1,1,ChatGPT,2,1,A5,1,1,0,0,Hizo un ranking de todas las alt. y su descripción,,,,,,
L1P1,1,1,Copilot,2,1,A5,1,1,0,0,,,,,,,
L1P1,1,1,Claude,2,1,A5,1,1,0,1,"Cuál sería su uso principal. Aprtamento, casa, mascotas.",,,,,,
L1P1,1,1,Gemini,2,2,A5,1,1,0,0,,,,,,,
L1P1,1,1,ChatGPT,2,2,A5,1,1,0,0,,,,,,,
L1P1,1,1,Copilot,2,2,A5,1,1,1,0,Lo recomienda primero pero no es tan específico,,,,,,
L1P1,1,1,Claude,2,2,A5,1,1,0,0,,,,,,,
L1P1,1,1,Gemini,2,3,A5,1,1,1,0,,,,,,,
L1P1,1,1,ChatGPT,2,3,A5,1,1,0,0,,,,,,,
L1P1,1,1,Copilot,2,3,A5,1,1,0,0,,,,,,,
L1P1,1,1,Claude,2,3,A5,1,1,0,0,,,,,,,
L1P2,1,2,Gemini,1,1,A3,1,1,0,0,Ofrece investigar más sobre las alternativas.,0,,,,,
